epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1178,1.47817,3.92799,0.00478,0.46006,0.44384,0.42202,0.32719,0.89979,1.94127,0.00255,0.00016,0.00016,0.00016
2,32.9616,1.02312,1.33195,0.00274,0.76615,0.8,0.83596,0.62054,1.02468,1.28565,0.00306,0.000337756,0.000337756,0.000337756
3,37.2491,0.92666,0.8497,0.00248,0.89042,0.8274,0.89978,0.70028,0.87497,1.15563,0.0028,0.000513136,0.000513136,0.000513136
4,41.3053,0.94361,0.72027,0.00249,0.85015,0.85487,0.91199,0.70836,0.87508,0.74051,0.00271,0.00068614,0.00068614,0.00068614
5,45.5325,0.97636,0.66511,0.00268,0.89358,0.85118,0.91913,0.7461,0.76157,0.76686,0.00238,0.000856768,0.000856768,0.000856768
6,49.8164,0.96855,0.5863,0.0025,0.92748,0.87945,0.94238,0.78215,0.69769,0.47236,0.00204,0.00102502,0.00102502,0.00102502
7,54.0304,0.93769,0.56164,0.00253,0.89605,0.92603,0.95373,0.75224,0.78679,0.40149,0.0023,0.0011909,0.0011909,0.0011909
8,57.9326,1.06288,0.54512,0.00303,0.94579,0.90959,0.94822,0.56997,1.31831,0.50933,0.00456,0.0013544,0.0013544,0.0013544
9,61.8451,0.96655,0.50214,0.00269,0.93474,0.91507,0.96009,0.7051,1.00328,0.39514,0.00311,0.00151552,0.00151552,0.00151552
10,65.8439,0.92412,0.53343,0.00248,0.95267,0.91233,0.96122,0.78133,0.75206,0.36062,0.00223,0.00167427,0.00167427,0.00167427
11,69.7257,1.01372,0.55615,0.00281,0.90335,0.92183,0.95232,0.62884,1.17837,0.48592,0.00418,0.00183064,0.00183064,0.00183064
12,73.7039,0.98485,0.5154,0.00283,0.92479,0.90961,0.95083,0.64255,1.23104,0.48838,0.0037,0.0018548,0.0018548,0.0018548
13,77.4752,1.02966,0.49342,0.00285,0.91051,0.91984,0.95872,0.75235,0.83881,0.33461,0.00255,0.0018416,0.0018416,0.0018416
14,81.195,1.03498,0.55646,0.00276,0.91694,0.91781,0.9579,0.65424,1.24987,0.40633,0.00376,0.0018284,0.0018284,0.0018284
15,84.958,0.91791,0.49378,0.00245,0.91057,0.92057,0.96197,0.78263,0.74449,0.32623,0.00217,0.0018152,0.0018152,0.0018152
16,88.7848,0.91874,0.49961,0.00246,0.94478,0.89061,0.96237,0.78338,0.75772,0.32167,0.00227,0.001802,0.001802,0.001802
17,92.5227,0.99317,0.49081,0.00276,0.956,0.88493,0.96679,0.61432,1.40746,0.48827,0.0047,0.0017888,0.0017888,0.0017888
18,96.1783,1.08117,0.50456,0.00303,0.92872,0.91781,0.97068,0.77774,0.77402,0.3401,0.00248,0.0017756,0.0017756,0.0017756
19,99.9906,0.9657,0.45603,0.00272,0.93924,0.90685,0.95943,0.75165,0.80584,0.35646,0.0024,0.0017624,0.0017624,0.0017624
20,103.634,0.95392,0.44776,0.00272,0.92145,0.93699,0.97619,0.8037,0.70214,0.29901,0.00209,0.0017492,0.0017492,0.0017492
21,107.351,0.89748,0.43842,0.00234,0.90646,0.94795,0.97438,0.75184,0.8568,0.33806,0.00261,0.001736,0.001736,0.001736
22,111,0.87422,0.41587,0.00225,0.93057,0.91507,0.96667,0.81314,0.64913,0.28846,0.00192,0.0017228,0.0017228,0.0017228
23,114.804,0.87357,0.42004,0.0025,0.94832,0.90499,0.96697,0.72745,0.94399,0.34715,0.00294,0.0017096,0.0017096,0.0017096
24,118.468,0.90716,0.42754,0.00249,0.95857,0.90685,0.97513,0.79735,0.71769,0.28495,0.00219,0.0016964,0.0016964,0.0016964
25,122.139,0.87026,0.40349,0.00225,0.95114,0.91507,0.9767,0.81958,0.66645,0.27601,0.00186,0.0016832,0.0016832,0.0016832
26,125.99,0.89079,0.45081,0.00236,0.94481,0.91781,0.97263,0.79193,0.76954,0.28969,0.00222,0.00167,0.00167,0.00167
27,129.609,0.838,0.42965,0.00215,0.94184,0.88729,0.96377,0.79674,0.69804,0.30583,0.00202,0.0016568,0.0016568,0.0016568
28,133.349,0.78914,0.39569,0.00214,0.93689,0.93547,0.9724,0.78406,0.72848,0.29484,0.00225,0.0016436,0.0016436,0.0016436
29,136.963,0.83956,0.42974,0.00218,0.94162,0.90685,0.97146,0.70663,0.97286,0.35206,0.00304,0.0016304,0.0016304,0.0016304
30,140.574,0.85984,0.39891,0.00225,0.94642,0.91947,0.9725,0.81238,0.6112,0.26749,0.00178,0.0016172,0.0016172,0.0016172
31,144.201,0.87397,0.42856,0.00243,0.93894,0.92682,0.9734,0.70775,1.00442,0.34429,0.00315,0.001604,0.001604,0.001604
32,148.054,0.87016,0.44106,0.00241,0.9515,0.90959,0.9764,0.8161,0.65073,0.26441,0.0019,0.0015908,0.0015908,0.0015908
33,151.866,0.83831,0.44616,0.00228,0.92395,0.93973,0.97709,0.77034,0.78648,0.2962,0.00234,0.0015776,0.0015776,0.0015776
34,155.645,0.76975,0.37927,0.00206,0.94395,0.92877,0.97668,0.78066,0.76654,0.28403,0.00233,0.0015644,0.0015644,0.0015644
35,159.373,0.88094,0.41546,0.00236,0.9499,0.93498,0.97668,0.77347,0.87025,0.31458,0.00252,0.0015512,0.0015512,0.0015512
36,163.084,0.89428,0.39378,0.00252,0.93688,0.93526,0.97733,0.76922,0.83405,0.2985,0.00288,0.001538,0.001538,0.001538
37,166.92,0.8293,0.36962,0.00223,0.95205,0.92477,0.97827,0.77068,0.79061,0.28465,0.00263,0.0015248,0.0015248,0.0015248
38,170.825,0.83275,0.39664,0.00228,0.93704,0.93777,0.97832,0.81337,0.65432,0.28269,0.00197,0.0015116,0.0015116,0.0015116
39,174.655,0.84306,0.3966,0.00215,0.94545,0.94521,0.98013,0.72449,0.9813,0.33359,0.003,0.0014984,0.0014984,0.0014984
40,178.448,0.8018,0.38413,0.00206,0.96257,0.92055,0.9793,0.75503,0.86463,0.31325,0.0027,0.0014852,0.0014852,0.0014852
41,182.25,0.79701,0.36496,0.0021,0.97912,0.90685,0.97471,0.82583,0.62699,0.25706,0.00182,0.001472,0.001472,0.001472
42,185.989,0.78154,0.36602,0.00202,0.97375,0.9147,0.98121,0.79249,0.71907,0.28049,0.00224,0.0014588,0.0014588,0.0014588
43,189.803,0.74802,0.34934,0.00189,0.93006,0.94727,0.98233,0.81716,0.64195,0.25978,0.00182,0.0014456,0.0014456,0.0014456
