epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7284,1.72798,3.67538,1.40451,0.02392,0.66849,0.03568,0.02346,1.25033,3.34044,0.94126,0.00016,0.00016,0.00016
2,20.6884,1.05603,1.78832,0.92885,0.95621,0.71794,0.75109,0.53716,1.16237,2.58585,0.87449,0.000337756,0.000337756,0.000337756
3,23.7019,0.9011,0.92354,0.88315,0.98864,0.23848,0.63622,0.50603,0.99825,2.44594,0.84969,0.000513136,0.000513136,0.000513136
4,26.1533,0.9216,0.86554,0.88287,0.94996,0.5721,0.76168,0.59651,0.97308,1.97153,0.83216,0.00068614,0.00068614,0.00068614
5,28.4587,0.91315,0.81057,0.89002,1,0.47998,0.82113,0.64763,0.87729,1.93902,0.82774,0.000856768,0.000856768,0.000856768
6,30.671,0.88285,0.78274,0.88115,0.97273,0.78186,0.88451,0.67722,0.89562,1.50603,0.83419,0.00102502,0.00102502,0.00102502
7,32.8546,0.83889,0.70259,0.87493,0.96032,0.80548,0.91844,0.67899,0.9152,1.2973,0.83376,0.0011909,0.0011909,0.0011909
8,34.9499,0.828,0.68561,0.87314,0.95898,0.83274,0.92069,0.67233,0.97282,1.27384,0.83659,0.0013544,0.0013544,0.0013544
9,36.7917,0.79713,0.66835,0.86698,0.94143,0.88075,0.95316,0.69688,0.91581,1.00966,0.83415,0.00151552,0.00151552,0.00151552
10,38.6686,0.78217,0.64677,0.86203,0.9561,0.89863,0.95818,0.72991,0.83543,0.85893,0.8247,0.00167427,0.00167427,0.00167427
11,40.6099,0.83872,0.70456,0.88272,0.96452,0.89375,0.96217,0.73322,0.81278,0.72942,0.82285,0.00183064,0.00183064,0.00183064
12,42.4868,0.82427,0.64045,0.87249,0.97029,0.89483,0.9587,0.73174,0.8764,0.76805,0.83409,0.0018548,0.0018548,0.0018548
13,44.3128,0.85615,0.64994,0.87561,0.95157,0.91507,0.96462,0.73155,0.88213,0.66938,0.83314,0.0018416,0.0018416,0.0018416
14,46.2328,0.81426,0.6306,0.87744,0.95298,0.88849,0.95939,0.7214,0.92045,0.72922,0.83934,0.0018284,0.0018284,0.0018284
15,48.0404,0.77771,0.60432,0.86796,0.96108,0.87943,0.9526,0.74927,0.76102,0.75873,0.81508,0.0018152,0.0018152,0.0018152
16,49.9626,0.78701,0.61025,0.86676,0.95273,0.88361,0.95037,0.75662,0.71156,0.71459,0.80903,0.001802,0.001802,0.001802
17,51.8592,0.80356,0.59774,0.87406,0.96038,0.88219,0.95837,0.70236,0.96399,0.75632,0.83799,0.0017888,0.0017888,0.0017888
