epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.101,1.29928,1.1454,1.17181,0.61801,0.6106,0.60945,0.42638,1.1407,1.44252,1.1497,0,0,0
2,12.3949,1.23499,1.33199,1.15955,0.63378,0.62043,0.61106,0.42783,1.14109,1.43346,1.15026,1.901e-05,1.901e-05,1.901e-05
3,13.4237,1.41242,1.70392,1.34354,0.68493,0.61536,0.64991,0.46662,1.11929,1.28787,1.14619,3.604e-05,3.604e-05,3.604e-05
4,14.8152,1.33455,1.34581,1.25889,0.67235,0.62264,0.64926,0.46646,1.12065,1.27837,1.14672,5.109e-05,5.109e-05,5.109e-05
5,16.2611,1.23983,1.29613,1.20587,0.80679,0.56604,0.68415,0.5108,1.11612,1.0521,1.15713,6.416e-05,6.416e-05,6.416e-05
6,17.7918,1.22346,1.19464,1.19627,0.82894,0.62264,0.72715,0.54619,1.09928,0.90594,1.15578,7.525e-05,7.525e-05,7.525e-05
7,19.2064,1.13409,0.91131,1.12337,0.72669,0.75472,0.75276,0.55717,1.1046,0.86837,1.15705,8.436e-05,8.436e-05,8.436e-05
8,20.5326,1.1457,0.9686,1.12794,0.88942,0.66038,0.76922,0.55724,1.09232,0.86467,1.14092,9.149e-05,9.149e-05,9.149e-05
9,21.8928,1.18142,0.95524,1.165,0.8815,0.67925,0.78424,0.55226,1.08329,0.87638,1.14377,9.664e-05,9.664e-05,9.664e-05
10,23.2006,1.04303,0.81424,1.10778,0.86874,0.69811,0.77656,0.53457,1.07731,0.89205,1.14046,9.981e-05,9.981e-05,9.981e-05
11,31.0648,1.04032,0.81526,1.1014,0.85967,0.6936,0.76096,0.53481,1.08792,0.88179,1.14693,0.000101,0.000101,0.000101
12,32.4962,0.9721,0.74305,1.04489,0.83855,0.68609,0.76312,0.5337,1.06204,0.86993,1.13407,0.00010021,0.00010021,0.00010021
13,33.7111,1.04954,0.77741,1.10236,0.83855,0.68609,0.76312,0.5337,1.06204,0.86993,1.13407,9.744e-05,9.744e-05,9.744e-05
14,34.9386,1.05898,0.76915,1.10674,0.83843,0.68548,0.75468,0.52257,1.07541,0.85168,1.15854,9.269e-05,9.269e-05,9.269e-05
15,36.2027,0.93096,0.72483,1.02688,0.83843,0.68548,0.75468,0.52257,1.07541,0.85168,1.15854,8.596e-05,8.596e-05,8.596e-05
16,37.5637,1.03284,0.73936,1.03256,0.83516,0.66928,0.7526,0.52133,1.06759,0.83514,1.15033,7.725e-05,7.725e-05,7.725e-05
17,38.8106,1.04057,0.72973,1.1014,0.83516,0.66928,0.7526,0.52133,1.06759,0.83514,1.15033,6.656e-05,6.656e-05,6.656e-05
18,40.1051,0.98106,0.71863,1.03119,0.84348,0.66038,0.75392,0.52782,1.0608,0.82002,1.15377,5.389e-05,5.389e-05,5.389e-05
19,41.2902,0.97494,0.71216,1.04228,0.84348,0.66038,0.75392,0.52782,1.0608,0.82002,1.15377,3.924e-05,3.924e-05,3.924e-05
20,42.5374,0.96673,0.68523,1.02441,0.84977,0.66038,0.75663,0.53467,1.06048,0.82041,1.15139,2.261e-05,2.261e-05,2.261e-05
