epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.32,2.39997,3.79688,1.49205,0.00444,0.06897,0.00036,0.00018,2.1497,3.65252,1.33376,2e-05,2e-05,2e-05
2,14.3892,2.13407,3.79747,1.44561,0.00444,0.06897,0.00037,0.00025,1.61964,3.62569,1.12478,5.9406e-05,5.9406e-05,5.9406e-05
3,15.1434,1.90473,3.72749,1.35696,0.00556,0.08621,0.00064,0.00042,1.28966,3.58926,1.03041,9.802e-05,9.802e-05,9.802e-05
4,16.3887,1.38615,3.60432,1.15276,0.01333,0.2069,0.00419,0.00228,1.14059,3.53848,0.9563,0.000135842,0.000135842,0.000135842
5,17.1364,1.46708,3.47265,1.11312,0.03778,0.58621,0.04457,0.02724,1.10313,3.4074,0.90718,0.000172872,0.000172872,0.000172872
6,17.8704,1.14157,2.94531,0.93546,0.04667,0.72414,0.07413,0.0469,1.06618,3.3142,0.87705,0.00020911,0.00020911,0.00020911
7,18.655,1.19782,2.35361,0.93512,0.04889,0.75862,0.09475,0.0591,1.13214,3.17498,0.88053,0.000244556,0.000244556,0.000244556
8,19.4824,1.09829,1.57353,0.88368,0.05222,0.81034,0.45482,0.30668,1.30363,2.95561,0.91163,0.00027921,0.00027921,0.00027921
9,20.2509,0.99685,1.00491,0.86531,0.05444,0.84483,0.6659,0.42666,1.27719,2.81602,0.90165,0.000313072,0.000313072,0.000313072
10,20.9573,0.99907,0.98021,0.86517,0.12474,0.82759,0.74235,0.46031,1.20371,2.66283,0.89003,0.000346142,0.000346142,0.000346142
11,21.6064,0.96161,0.89507,0.85967,0.09211,0.82759,0.75567,0.49124,1.17267,2.56802,0.8856,0.00037842,0.00037842,0.00037842
12,22.2962,0.95402,0.85529,0.86797,0.05333,0.82759,0.72469,0.45963,1.17196,2.61564,0.88667,0.000409906,0.000409906,0.000409906
13,22.9477,0.9774,0.83176,0.85309,0.05556,0.86207,0.45759,0.2908,1.11252,2.72465,0.88635,0.0004406,0.0004406,0.0004406
14,23.5578,0.95017,0.85874,0.8502,0.05556,0.86207,0.30821,0.21747,1.03492,2.77594,0.88448,0.000470502,0.000470502,0.000470502
15,24.1787,1.07934,0.90454,0.88708,0.05556,0.86207,0.26786,0.19938,1.01048,2.77938,0.88325,0.000499612,0.000499612,0.000499612
16,24.8015,1.02038,0.83382,0.88208,0.05556,0.86207,0.2822,0.19483,1.01886,2.74179,0.87702,0.00052793,0.00052793,0.00052793
17,25.4171,1.00479,0.78098,0.86685,0.05556,0.86207,0.39911,0.25301,1.17781,2.70693,0.90615,0.000555456,0.000555456,0.000555456
18,26.0524,0.959,0.76603,0.85765,0.05556,0.86207,0.52163,0.32905,1.16469,2.63921,0.90142,0.00058219,0.00058219,0.00058219
19,26.681,0.94792,0.75303,0.87445,0.05778,0.89655,0.61038,0.42529,0.99275,2.50872,0.87234,0.000608132,0.000608132,0.000608132
20,27.3104,0.87183,0.7176,0.85425,0.96158,0.4315,0.67538,0.48724,0.94194,2.32368,0.8628,0.000633282,0.000633282,0.000633282
21,27.9683,0.86766,0.75061,0.85317,0.94268,0.28381,0.7732,0.57073,0.93422,2.21397,0.85872,0.00065764,0.00065764,0.00065764
22,28.6404,0.8778,0.70522,0.84782,1,0.30847,0.77803,0.57563,0.94977,2.099,0.86379,0.000681206,0.000681206,0.000681206
23,29.323,0.85471,0.69886,0.85497,1,0.45429,0.7853,0.58545,0.92275,1.95808,0.85599,0.00070398,0.00070398,0.00070398
24,29.9961,0.98168,0.71688,0.86338,1,0.5904,0.81149,0.62047,0.89447,1.79148,0.84024,0.000725962,0.000725962,0.000725962
25,30.6111,0.88626,0.72697,0.84577,0.97371,0.63856,0.81915,0.61099,0.91451,1.69519,0.84207,0.000747152,0.000747152,0.000747152
26,31.2611,0.92439,0.69266,0.86178,1,0.73029,0.82669,0.59465,0.95059,1.64696,0.84982,0.00076755,0.00076755,0.00076755
27,31.9204,0.86188,0.64306,0.84922,1,0.73807,0.84392,0.59131,0.98923,1.57118,0.85873,0.000787156,0.000787156,0.000787156
28,32.5335,0.85761,0.66637,0.84957,1,0.73807,0.84392,0.59131,0.98923,1.57118,0.85873,0.00080597,0.00080597,0.00080597
29,33.2035,0.82868,0.62236,0.85269,1,0.77071,0.84255,0.58685,1.00028,1.49624,0.86125,0.000823992,0.000823992,0.000823992
30,33.8467,0.92251,0.71017,0.86967,1,0.77478,0.8538,0.61552,0.8884,1.45725,0.83888,0.000841222,0.000841222,0.000841222
31,34.4342,0.80594,0.64474,0.8554,1,0.77478,0.8538,0.61552,0.8884,1.45725,0.83888,0.00085766,0.00085766,0.00085766
32,35.0444,0.8687,0.64949,0.86933,0.98937,0.77586,0.86101,0.63687,0.86276,1.51942,0.83481,0.000873306,0.000873306,0.000873306
33,35.6843,0.88924,0.65887,0.86443,0.98453,0.7931,0.8685,0.6293,0.85319,1.55476,0.83339,0.00088816,0.00088816,0.00088816
34,36.2934,0.94607,0.70282,0.88346,0.98453,0.7931,0.8685,0.6293,0.85319,1.55476,0.83339,0.000902222,0.000902222,0.000902222
35,36.9447,0.78429,0.62082,0.83377,0.97904,0.80526,0.88523,0.60737,0.89131,1.48995,0.83763,0.000915492,0.000915492,0.000915492
36,37.5846,0.90139,0.67369,0.86503,0.97897,0.80278,0.90888,0.64403,0.92296,1.38199,0.83879,0.00092797,0.00092797,0.00092797
37,38.2134,0.8989,0.63497,0.843,0.97897,0.80278,0.90888,0.64403,0.92296,1.38199,0.83879,0.000939656,0.000939656,0.000939656
38,38.8579,0.85848,0.63521,0.86066,0.95839,0.7931,0.91007,0.68844,0.88615,1.33074,0.83215,0.00095055,0.00095055,0.00095055
39,39.507,0.84687,0.66573,0.83123,0.93905,0.797,0.92078,0.67801,0.87654,1.28858,0.82879,0.000960652,0.000960652,0.000960652
40,40.1004,0.84331,0.5904,0.82911,0.93905,0.797,0.92078,0.67801,0.87654,1.28858,0.82879,0.000969962,0.000969962,0.000969962
41,40.7395,0.87817,0.6513,0.86251,0.95875,0.80153,0.92641,0.69844,0.85165,1.23214,0.83035,0.00097848,0.00097848,0.00097848
42,41.4086,0.73623,0.5988,0.83331,0.94967,0.7931,0.92795,0.65371,0.87636,1.20599,0.83311,0.000986206,0.000986206,0.000986206
43,42.0335,0.79259,0.59871,0.82285,0.94967,0.7931,0.92795,0.65371,0.87636,1.20599,0.83311,0.00099314,0.00099314,0.00099314
44,42.7237,0.86632,0.63658,0.85433,0.97917,0.81029,0.92716,0.66172,0.85824,1.13474,0.83408,0.000999282,0.000999282,0.000999282
45,43.3827,0.82291,0.58889,0.83911,0.97917,0.81029,0.92716,0.66172,0.85824,1.13474,0.83408,0.00100463,0.00100463,0.00100463
46,44.0432,0.83816,0.59734,0.84483,1,0.83923,0.96262,0.69518,0.84586,1.03237,0.83244,0.00100919,0.00100919,0.00100919
47,44.6638,0.75798,0.53618,0.82196,1,0.83923,0.96262,0.69518,0.84586,1.03237,0.83244,0.00101296,0.00101296,0.00101296
48,45.335,0.81448,0.61349,0.83039,1,0.85822,0.96604,0.69294,0.93439,0.97139,0.83889,0.00101593,0.00101593,0.00101593
49,45.9292,0.76844,0.54912,0.8321,1,0.85822,0.96604,0.69294,0.93439,0.97139,0.83889,0.00101811,0.00101811,0.00101811
50,46.6176,0.785,0.55657,0.83485,1,0.881,0.96882,0.7037,0.96919,0.91246,0.84425,0.0010195,0.0010195,0.0010195
51,47.2931,0.8588,0.5837,0.85888,1,0.881,0.96882,0.7037,0.96919,0.91246,0.84425,0.00101,0.00101,0.00101
52,47.9631,0.78844,0.58755,0.84612,0.99252,0.89655,0.97373,0.73835,0.8238,0.87677,0.82746,0.0009902,0.0009902,0.0009902
53,48.6405,0.80609,0.60326,0.84921,0.99252,0.89655,0.97373,0.73835,0.8238,0.87677,0.82746,0.0009704,0.0009704,0.0009704
54,49.3513,0.72443,0.56217,0.83647,0.98084,0.8827,0.97168,0.75004,0.81283,0.92443,0.82893,0.0009506,0.0009506,0.0009506
55,50.0267,0.82725,0.57713,0.86993,0.98084,0.8827,0.97168,0.75004,0.81283,0.92443,0.82893,0.0009308,0.0009308,0.0009308
56,50.6994,0.79596,0.55768,0.83838,1,0.88581,0.96774,0.7501,0.84035,0.93724,0.82956,0.000911,0.000911,0.000911
57,51.3527,0.78993,0.54367,0.83048,1,0.88581,0.96774,0.7501,0.84035,0.93724,0.82956,0.0008912,0.0008912,0.0008912
58,52.0152,0.77109,0.53413,0.82145,1,0.89334,0.96631,0.74384,0.83491,0.90957,0.8287,0.0008714,0.0008714,0.0008714
59,52.6978,0.75835,0.53303,0.80801,1,0.89334,0.96631,0.74384,0.83491,0.90957,0.8287,0.0008516,0.0008516,0.0008516
60,53.496,0.79778,0.60597,0.8632,0.99503,0.91379,0.97096,0.75941,0.73943,0.85267,0.81498,0.0008318,0.0008318,0.0008318
61,54.1589,0.72442,0.54444,0.83616,0.99503,0.91379,0.97096,0.75941,0.73943,0.85267,0.81498,0.000812,0.000812,0.000812
62,54.845,0.73201,0.55052,0.83851,1,0.89543,0.97235,0.77893,0.68908,0.79236,0.80993,0.0007922,0.0007922,0.0007922
63,55.4856,0.76499,0.53815,0.85218,1,0.89543,0.97235,0.77893,0.68908,0.79236,0.80993,0.0007724,0.0007724,0.0007724
64,56.1915,0.75742,0.52928,0.8262,1,0.8991,0.97332,0.78751,0.65618,0.69995,0.80689,0.0007526,0.0007526,0.0007526
65,56.8234,0.71456,0.50732,0.83114,1,0.8991,0.97332,0.78751,0.65618,0.69995,0.80689,0.0007328,0.0007328,0.0007328
66,57.4994,0.763,0.53001,0.8324,0.98923,0.89655,0.97488,0.76032,0.77276,0.60763,0.82081,0.000713,0.000713,0.000713
67,58.2239,0.70552,0.50652,0.82948,0.98923,0.89655,0.97488,0.76032,0.77276,0.60763,0.82081,0.0006932,0.0006932,0.0006932
68,58.9553,0.77631,0.52444,0.84248,0.99189,0.89655,0.97556,0.76343,0.78091,0.55188,0.82257,0.0006734,0.0006734,0.0006734
69,59.6097,0.75933,0.53923,0.83299,0.99189,0.89655,0.97556,0.76343,0.78091,0.55188,0.82257,0.0006536,0.0006536,0.0006536
70,60.3432,0.77579,0.53213,0.8279,0.99459,0.89655,0.97657,0.78587,0.67067,0.5058,0.80821,0.0006338,0.0006338,0.0006338
71,60.9594,0.73435,0.5186,0.85182,0.99459,0.89655,0.97657,0.78587,0.67067,0.5058,0.80821,0.000614,0.000614,0.000614
72,61.6895,0.78782,0.52652,0.8366,1,0.90921,0.9773,0.79251,0.64811,0.49314,0.80541,0.0005942,0.0005942,0.0005942
73,62.3563,0.72698,0.50446,0.83003,1,0.90921,0.9773,0.79251,0.64811,0.49314,0.80541,0.0005744,0.0005744,0.0005744
74,63.0571,0.66152,0.55779,0.80682,0.99613,0.91379,0.97741,0.77641,0.69724,0.50857,0.80961,0.0005546,0.0005546,0.0005546
75,63.7305,0.71491,0.49325,0.83217,0.99613,0.91379,0.97741,0.77641,0.69724,0.50857,0.80961,0.0005348,0.0005348,0.0005348
76,64.4172,0.893,0.59005,0.86929,0.99639,0.91379,0.97759,0.77244,0.72795,0.52106,0.81416,0.000515,0.000515,0.000515
77,65.0974,0.75449,0.48425,0.81507,0.99639,0.91379,0.97759,0.77244,0.72795,0.52106,0.81416,0.0004952,0.0004952,0.0004952
78,65.7865,0.7079,0.51287,0.81631,0.99422,0.91379,0.9768,0.7892,0.67877,0.51427,0.80977,0.0004754,0.0004754,0.0004754
79,66.391,0.68461,0.47406,0.82414,0.99422,0.91379,0.9768,0.7892,0.67877,0.51427,0.80977,0.0004556,0.0004556,0.0004556
80,67.1009,0.65886,0.48129,0.82343,1,0.91268,0.9768,0.79117,0.65864,0.51292,0.80713,0.0004358,0.0004358,0.0004358
81,67.7529,0.64626,0.47289,0.80241,1,0.91268,0.9768,0.79117,0.65864,0.51292,0.80713,0.000416,0.000416,0.000416
82,68.4025,0.73229,0.51223,0.86919,1,0.89428,0.9768,0.79249,0.63154,0.514,0.8034,0.0003962,0.0003962,0.0003962
